Flow ID,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean,Label
f-0,581.5287987717528,105.8962291493455,152.7275362560072,44.12627714360293,4964.177520530371,849.7190664277852,257.1156335497769,250.87578257672448,432.07181082974313,3173.574567292751,387.2765977652703,136.89234635991147,200.51251820283898,116.17954534823157,564.3354758836014,BENIGN
f-1,115.81789333602731,306.3869408579175,909.5789594428709,547.9031033675021,603.9539151617818,681.9375752985351,1193.4348134696947,248.86049457166231,412.141998195623,213.3685289471215,491.1494165190523,2816.2547038727735,231.02981364648585,116.37265466082131,3703.1393957996197,PortScan
f-2,992.8121133034916,59.659111624324005,165.23470000484025,198.26914596839777,104.25437831759699,1653.7859999628,1894.2890408222706,451.78638462152736,1402.8800160705316,2183.2106135789204,1234.5726672604887,177.1051761100247,24.57735217409063,1182.6829174579168,237.93222895995623,BENIGN
f-3,1247.2266179340077,134.90170686322492,215.75718379476834,134.62706388850575,596.7860847128928,48.63275557561777,3379.852166951948,75.7971727828566,1940.8341578866443,822.0222284929382,223.97509626450747,407.58927646793705,56.99677277589428,865.563025580405,896.886318885313,BENIGN
f-4,38.81309825744667,529.6112544946262,129.9637766317428,374.1676575695548,3146.93759030254,5774.141214147136,289.6003698865207,2727.121565718834,322.06401377505347,388.01605479142285,81.26204308303646,1317.0994297817304,1682.5386185305797,1898.1551775109356,7197.758801482909,DDoS
f-5,187.45312525520953,1964.1519180842508,1922.515989504064,844.4642017160805,425.02161617606413,277.406965064315,999.2308220130756,577.4475716921415,1074.3540733896414,773.5039722566326,729.1476210351599,1484.9059668968061,846.1975955328065,253.81310613404344,909.4604896428841,BENIGN
f-6,470.317728221962,90850.80911571257,862.7335106365764,70.57605649772258,2057.2864759394724,970.4823071279297,442.9928708171277,307.7948711574603,107.56738231830157,551.9830090158833,315.0626722188861,466.4530410009742,85.03586955775594,120.04032583772941,115.47661199726949,BENIGN
f-7,276.02981608826184,199.55659851324012,833.7987371007546,235.41427999422876,389.78139440004844,578.3071631733442,91.57010243037072,1001.4111111184208,1013.141127807285,618.4062576391694,341.6457165904604,516.0357524061485,189.2962276476634,716.4920703402985,454.6713818113698,BENIGN
f-8,395.37655357733684,7194.894770069461,1802.0022835006353,2469.6823540288597,378.7458835817647,405.8355532973511,904.4031778804067,710.011189534747,202.96408476281317,314.74245847962607,735.573388331234,275.30571519167825,389.5503746010404,3554.5564036492406,135.13606024530765,BENIGN
f-9,144.94397477753895,2025.7983117676026,11792.029284965436,111.01373625870525,841.8931043463776,535.6735487619835,480.75508861157545,3161.3402047787704,756.0700548795277,173.83277796475863,2247.0187532026857,645.6162583242399,96.02866315282125,4168.742654396882,452.9880274029932,BENIGN
